Region,Peak Demand (in %),% of time of year
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,81.0
Eastern Region,62.0,81.0
North-Eastern Region,49.0,81.0
Northen Region,53.0,81.0
Southern Region,65.0,81.0
Western Region,72.0,81.0
National,76.0,82.0
Eastern Region,62.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,76.0,82.0
Eastern Region,62.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,76.0,82.0
Eastern Region,62.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,76.0,82.0
Eastern Region,62.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,76.0,82.0
Eastern Region,62.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,76.0,82.0
Eastern Region,62.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,76.0,82.0
Eastern Region,62.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,76.0,82.0
Eastern Region,62.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,76.0,82.0
Eastern Region,62.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,76.0,82.0
Eastern Region,62.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,76.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,76.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,76.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,49.0,82.0
Northen Region,53.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,65.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,64.0,82.0
Western Region,72.0,82.0
National,75.0,82.0
Eastern Region,61.0,82.0
North-Eastern Region,48.0,82.0
Northen Region,52.0,82.0
Southern Region,64.0,82.0
Western Region,72.0,82.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,72.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,83.0
Eastern Region,61.0,83.0
North-Eastern Region,48.0,83.0
Northen Region,52.0,83.0
Southern Region,64.0,83.0
Western Region,71.0,83.0
National,75.0,84.0
Eastern Region,61.0,84.0
North-Eastern Region,48.0,84.0
Northen Region,52.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,61.0,84.0
North-Eastern Region,48.0,84.0
Northen Region,52.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,61.0,84.0
North-Eastern Region,48.0,84.0
Northen Region,52.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,61.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,52.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,61.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,52.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,61.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,52.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,61.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,52.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,61.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,61.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,61.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,61.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,61.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,75.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
